ticker,earnings_date,reaction_1day,reaction_3day,surprise_pct,hedging_pct,forward_looking_pct,readability_score,sentiment_score,market_reaction_1day,market_reaction_3day
META,2024-04-24,-10.56,-12.34,8.92,0.648,1.225,53.8752980119481,0.2099,-0.46,0.88
META,2024-02-01,20.32,15.18,7.88,0.627,1.041,51.32506020269685,0.2677,1.07,0.98
META,2023-10-25,-3.73,1.04,20.9,0.644,1.227,50.96541444178726,0.0805,-1.18,-0.48
META,2023-07-26,4.4,6.71,2.51,0.81,1.274,49.76052920109416,0.0869,-0.64,0.49
META,2023-04-26,13.93,16.13,11.2,0.652,1.146,55.89311436929037,0.1564,1.96,2.76
META,2023-02-01,23.28,21.51,-21.53,0.686,1.243,53.52150277105756,0.1421,1.47,-0.2
META,2022-10-26,-24.56,-28.24,-12.06,0.691,1.296,57.54631651093831,0.0219,-0.61,1.08
META,2022-07-27,-5.22,-5.69,-3.38,0.775,1.099,56.91820284237727,0.0988,1.21,2.36
META,2022-04-27,17.59,20.68,6.82,0.538,0.817,57.44144940960348,-0.0643,2.47,-0.68
META,2022-02-02,-26.39,-30.37,-4.1,0.699,1.08,56.89628582313492,0.0256,-2.44,-2.3
META,2021-10-25,-3.92,-3.58,1.32,0.583,0.961,57.410344407879165,0.0699,0.18,0.66
META,2021-07-28,-4.01,-5.71,20.04,0.701,1.132,57.33001224319096,0.247,0.42,-0.31
META,2021-04-28,7.3,5.04,40.65,0.502,0.512,56.24793006571517,0.0889,0.68,0.23
META,2021-01-27,-2.62,-3.72,21.43,0.448,0.594,60.17393212087012,0.111,0.98,0.62
META,2020-10-29,-6.31,-5.53,41.95,0.515,0.68,58.83316215355211,0.0426,-1.21,1.78
META,2020-07-30,8.17,6.54,31.2,0.603,0.804,56.29468926262192,0.2019,0.77,1.86
NVDA,2025-05-28,3.25,1.91,8.02,0.568,0.761,53.0623560897954,0.1385,0.4,0.8
NVDA,2025-02-26,-8.48,-13.12,5.25,0.508,0.918,50.89220467971316,0.1847,-1.59,-1.79
NVDA,2024-11-20,0.53,-6.77,8.52,0.523,0.685,47.30401257689678,0.2463,0.53,1.19
NVDA,2024-08-28,-6.38,-14.02,5.66,0.505,0.623,49.5381393488521,0.1219,-0.0,-1.13
NVDA,2024-05-22,9.32,19.96,9.74,0.434,0.751,47.77645338449406,0.1776,-0.74,-0.02
NVDA,2024-02-21,16.4,17.22,11.4,0.383,0.568,49.10861804061642,0.0369,2.11,1.76
NVDA,2023-11-21,-2.46,-3.41,18.73,0.642,0.843,54.62788984852577,-0.0974,0.41,0.27
NVDA,2023-08-23,0.1,-0.6,29.35,0.737,0.604,54.67868713364496,0.0051,-1.35,-0.06
NVDA,2023-05-24,24.37,31.35,18.8,0.81,1.093,56.828497412679525,0.0115,0.88,2.19
NVDA,2023-02-22,14.02,13.24,9.45,0.709,0.696,54.4291984123721,0.1352,0.53,-0.22
NVDA,2022-11-16,-1.46,-3.73,-17.32,0.59,1.059,53.35174192023948,0.2809,-0.31,-0.22
NVDA,2022-08-24,4.01,-8.25,-1.49,0.741,0.805,50.43389659705838,0.178,1.41,-2.66
NVDA,2022-05-25,5.16,10.0,4.86,0.751,0.8,49.30413239060252,0.1433,1.99,3.86
NVDA,2022-02-16,-7.56,-11.77,7.97,0.651,0.952,53.72072889516221,0.2382,-2.12,-3.8
NVDA,2021-11-17,8.25,9.21,5.81,0.718,1.108,54.73310685924517,0.1837,0.34,-0.12
NVDA,2021-08-18,3.98,15.33,2.26,0.611,1.25,51.63457138849691,0.0774,0.13,1.8
NVDA,2021-05-26,-1.35,3.6,11.44,0.482,0.697,56.82354953754791,0.1355,0.12,0.14
NVDA,2021-02-24,-8.22,-4.53,10.37,0.576,0.408,57.49582671986517,0.1312,-2.45,-0.6
NVDA,2020-11-18,0.09,-2.15,14.21,0.664,0.779,55.4823527512271,0.0969,0.39,0.27
NVDA,2020-08-19,0.02,4.79,10.66,0.606,0.606,57.5271004942291,-0.05,0.32,1.67
JPM,2024-07-12,2.49,5.82,35.02,0.587,0.547,64.68562852105305,0.0226,0.28,-0.48
JPM,2024-04-12,0.05,-1.48,7.4,0.698,0.41,59.2033687003931,0.2023,-1.2,-1.98
JPM,2024-01-12,-0.63,-0.96,-15.65,0.67,0.661,61.30178015510612,-0.0344,-0.37,-0.06
